Size,LCG,XorShift,LaggedFibonacci,MT19937
1000,3.048,4.183,8.832,10.542
5000,13.57,20.36,43.724,42.239
10000,17.394,26.488,79.336,70.406
25000,61.9,85.191,188.831,182.754
50000,105.632,144.379,446.452,452.09
100000,261.012,405.672,748.825,843.908
250000,770.149,1336.93,2783.86,3058.9
500000,593.153,1992.83,4032.43,4694.6
750000,2259.26,3721.05,7164.72,7868.03
1000000,2021.87,3634.59,7677.69,9092.1
